Tipo de jornada;Grupo de edad;Decil;Periodo;Total
Total;55 y más años;10;2013;4.443,18
Total;55 y más años;10;2012;4.556,8
Total;55 y más años;10;2011;4.455,26
Total;55 y más años;10;2010;4.360,21
Total;55 y más años;10;2009;4.392,4
Total;55 y más años;10;2008;4.487,13
Total;55 y más años;10;2007;3.748,36
Total;55 y más años;10;2006;3.596,94
Jornada a tiempo completo;Total;Total decil;2023;2.503,81
Jornada a tiempo completo;Total;Total decil;2022;2.332,25
Jornada a tiempo completo;Total;Total decil;2021;2.304,04
Jornada a tiempo completo;Total;Total decil;2020;2.258,3
Jornada a tiempo completo;Total;Total decil;2019;2.207,31
Jornada a tiempo completo;Total;Total decil;2018;2.177,14
Jornada a tiempo completo;Total;Total decil;2017;2.120,76
Jornada a tiempo completo;Total;Total decil;2016;2.106,71
Jornada a tiempo completo;Total;Total decil;2015;2.142,03
Jornada a tiempo completo;Total;Total decil;2014;2.132,2
Jornada a tiempo completo;Total;Total decil;2013;2.121,27
Jornada a tiempo completo;Total;Total decil;2012;2.076,25
Jornada a tiempo completo;Total;Total decil;2011;2.046,75
Jornada a tiempo completo;Total;Total decil;2010;2.022,19
Jornada a tiempo completo;Total;Total decil;2009;1.995,36
Jornada a tiempo completo;Total;Total decil;2008;1.929,61
Jornada a tiempo completo;Total;Total decil;2007;1.779,06
Jornada a tiempo completo;Total;Total decil;2006;1.703,93
Jornada a tiempo completo;Total;1;2023;909,38
Jornada a tiempo completo;Total;1;2022;874,76
Jornada a tiempo completo;Total;1;2021;780,24
Jornada a tiempo completo;Total;1;2020;737,64
Jornada a tiempo completo;Total;1;2019;745,66
Jornada a tiempo completo;Total;1;2018;670,68
Jornada a tiempo completo;Total;1;2017;642,01
Jornada a tiempo completo;Total;1;2016;633,39
Jornada a tiempo completo;Total;1;2015;615,79
Jornada a tiempo completo;Total;1;2014;575,37
Jornada a tiempo completo;Total;1;2013;563,41
Jornada a tiempo completo;Total;1;2012;587,54
Jornada a tiempo completo;Total;1;2011;610,87
Jornada a tiempo completo;Total;1;2010;629,49
Jornada a tiempo completo;Total;1;2009;628,64
Jornada a tiempo completo;Total;1;2008;655,07
Jornada a tiempo completo;Total;1;2007;624,4
Jornada a tiempo completo;Total;1;2006;575,08
Jornada a tiempo completo;Total;2;2023;1.236,49
Jornada a tiempo completo;Total;2;2022;1.153,15
Jornada a tiempo completo;Total;2;2021;1.055,67
Jornada a tiempo completo;Total;2;2020;1.027,6
Jornada a tiempo completo;Total;2;2019;1.020,14
Jornada a tiempo completo;Total;2;2018;925,84
Jornada a tiempo completo;Total;2;2017;882,86
Jornada a tiempo completo;Total;2;2016;878,9
Jornada a tiempo completo;Total;2;2015;850,46
Jornada a tiempo completo;Total;2;2014;844,46
Jornada a tiempo completo;Total;2;2013;843,9
Jornada a tiempo completo;Total;2;2012;873,29
Jornada a tiempo completo;Total;2;2011;882,51
Jornada a tiempo completo;Total;2;2010;912,76
Jornada a tiempo completo;Total;2;2009;891,45
Jornada a tiempo completo;Total;2;2008;899,73
Jornada a tiempo completo;Total;2;2007;864,61
Jornada a tiempo completo;Total;2;2006;810,56
Jornada a tiempo completo;Total;3;2023;1.435,14
Jornada a tiempo completo;Total;3;2022;1.338,85
Jornada a tiempo completo;Total;3;2021;1.256,69
Jornada a tiempo completo;Total;3;2020;1.238,09
Jornada a tiempo completo;Total;3;2019;1.222,98
Jornada a tiempo completo;Total;3;2018;1.158,89
Jornada a tiempo completo;Total;3;2017;1.123,98
Jornada a tiempo completo;Total;3;2016;1.120,79
Jornada a tiempo completo;Total;3;2015;1.103,99
Jornada a tiempo completo;Total;3;2014;1.104,75
Jornada a tiempo completo;Total;3;2013;1.108,68
Jornada a tiempo completo;Total;3;2012;1.122,63
Jornada a tiempo completo;Total;3;2011;1.129,31
Jornada a tiempo completo;Total;3;2010;1.142,86
Jornada a tiempo completo;Total;3;2009;1.120,3
Jornada a tiempo completo;Total;3;2008;1.113,18
Jornada a tiempo completo;Total;3;2007;1.063,01
Jornada a tiempo completo;Total;3;2006;1.007,14
Jornada a tiempo completo;Total;4;2023;1.631,52
Jornada a tiempo completo;Total;4;2022;1.524,03
Jornada a tiempo completo;Total;4;2021;1.455,64
Jornada a tiempo completo;Total;4;2020;1.423,46
Jornada a tiempo completo;Total;4;2019;1.418,56
Jornada a tiempo completo;Total;4;2018;1.358,39
Jornada a tiempo completo;Total;4;2017;1.323,06
Jornada a tiempo completo;Total;4;2016;1.325,47
Jornada a tiempo completo;Total;4;2015;1.312,19
Jornada a tiempo completo;Total;4;2014;1.315,8
Jornada a tiempo completo;Total;4;2013;1.319,1
Jornada a tiempo completo;Total;4;2012;1.323,28
Jornada a tiempo completo;Total;4;2011;1.311,58
Jornada a tiempo completo;Total;4;2010;1.317
Jornada a tiempo completo;Total;4;2009;1.290,47
Jornada a tiempo completo;Total;4;2008;1.267,87
Jornada a tiempo completo;Total;4;2007;1.203,8
Jornada a tiempo completo;Total;4;2006;1.144,5
Jornada a tiempo completo;Total;5;2023;1.834,45
Jornada a tiempo completo;Total;5;2022;1.708,48
Jornada a tiempo completo;Total;5;2021;1.652,94
Jornada a tiempo completo;Total;5;2020;1.606,82
Jornada a tiempo completo;Total;5;2019;1.595,45
Jornada a tiempo completo;Total;5;2018;1.546,13
Jornada a tiempo completo;Total;5;2017;1.498,09
Jornada a tiempo completo;Total;5;2016;1.497,64
Jornada a tiempo completo;Total;5;2015;1.497,28
Jornada a tiempo completo;Total;5;2014;1.503,49
Jornada a tiempo completo;Total;5;2013;1.502,8
Jornada a tiempo completo;Total;5;2012;1.493,26
Jornada a tiempo completo;Total;5;2011;1.484,31
Jornada a tiempo completo;Total;5;2010;1.478,37
Jornada a tiempo completo;Total;5;2009;1.444,04
Jornada a tiempo completo;Total;5;2008;1.411,77
Jornada a tiempo completo;Total;5;2007;1.337,12
Jornada a tiempo completo;Total;5;2006;1.270,23
Jornada a tiempo completo;Total;6;2023;2.060,18
Jornada a tiempo completo;Total;6;2022;1.913,3
Jornada a tiempo completo;Total;6;2021;1.866,07
Jornada a tiempo completo;Total;6;2020;1.816,65
Jornada a tiempo completo;Total;6;2019;1.793,5
Jornada a tiempo completo;Total;6;2018;1.752,62
Jornada a tiempo completo;Total;6;2017;1.698,47
Jornada a tiempo completo;Total;6;2016;1.703,64
Jornada a tiempo completo;Total;6;2015;1.704,22
Jornada a tiempo completo;Total;6;2014;1.715,65
Jornada a tiempo completo;Total;6;2013;1.704,07
Jornada a tiempo completo;Total;6;2012;1.685,57
Jornada a tiempo completo;Total;6;2011;1.678,71
Jornada a tiempo completo;Total;6;2010;1.667,63
Jornada a tiempo completo;Total;6;2009;1.627,48
Jornada a tiempo completo;Total;6;2008;1.577,81
Jornada a tiempo completo;Total;6;2007;1.491,69
Jornada a tiempo completo;Total;6;2006;1.418,28
Jornada a tiempo completo;Total;7;2023;2.356,8
Jornada a tiempo completo;Total;7;2022;2.182,08
Jornada a tiempo completo;Total;7;2021;2.148,86
Jornada a tiempo completo;Total;7;2020;2.107,14
Jornada a tiempo completo;Total;7;2019;2.058,53
Jornada a tiempo completo;Total;7;2018;2.017,11
Jornada a tiempo completo;Total;7;2017;1.969,94
Jornada a tiempo completo;Total;7;2016;1.969,72
Jornada a tiempo completo;Total;7;2015;1.961,12
Jornada a tiempo completo;Total;7;2014;1.997,67
Jornada a tiempo completo;Total;7;2013;1.980,26
Jornada a tiempo completo;Total;7;2012;1.943,54
Jornada a tiempo completo;Total;7;2011;1.926,71
Jornada a tiempo completo;Total;7;2010;1.916,56
Jornada a tiempo completo;Total;7;2009;1.870,56
Jornada a tiempo completo;Total;7;2008;1.795,08
Jornada a tiempo completo;Total;7;2007;1.703,26
Jornada a tiempo completo;Total;7;2006;1.629,29
Jornada a tiempo completo;Total;8;2023;2.781,23
Jornada a tiempo completo;Total;8;2022;2.593,39
Jornada a tiempo completo;Total;8;2021;2.558,44
Jornada a tiempo completo;Total;8;2020;2.541,41
Jornada a tiempo completo;Total;8;2019;2.446,2
Jornada a tiempo completo;Total;8;2018;2.421,73
Jornada a tiempo completo;Total;8;2017;2.363,26
Jornada a tiempo completo;Total;8;2016;2.355,17
Jornada a tiempo completo;Total;8;2015;2.364,19
Jornada a tiempo completo;Total;8;2014;2.386,97
Jornada a tiempo completo;Total;8;2013;2.364,32
Jornada a tiempo completo;Total;8;2012;2.304,44
Jornada a tiempo completo;Total;8;2011;2.292,34
Jornada a tiempo completo;Total;8;2010;2.291,51
Jornada a tiempo completo;Total;8;2009;2.240,5
Jornada a tiempo completo;Total;8;2008;2.144,46
Jornada a tiempo completo;Total;8;2007;2.042,77
Jornada a tiempo completo;Total;8;2006;1.960,26
Jornada a tiempo completo;Total;9;2023;3.392,16
Jornada a tiempo completo;Total;9;2022;3.173,91
Jornada a tiempo completo;Total;9;2021;3.144,92
Jornada a tiempo completo;Total;9;2020;3.161,01
Jornada a tiempo completo;Total;9;2019;3.036,8
Jornada a tiempo completo;Total;9;2018;3.007,98
Jornada a tiempo completo;Total;9;2017;2.956,05
Jornada a tiempo completo;Total;9;2016;2.922,84
Jornada a tiempo completo;Total;9;2015;2.964,56
Jornada a tiempo completo;Total;9;2014;2.947,02
Jornada a tiempo completo;Total;9;2013;2.916,74
Jornada a tiempo completo;Total;9;2012;2.852,32
Jornada a tiempo completo;Total;9;2011;2.849,06
Jornada a tiempo completo;Total;9;2010;2.841,79
Jornada a tiempo completo;Total;9;2009;2.818,54
Jornada a tiempo completo;Total;9;2008;2.695,09
Jornada a tiempo completo;Total;9;2007;2.570,62
Jornada a tiempo completo;Total;9;2006;2.448,15
Jornada a tiempo completo;Total;10;2023;5.386,69
Jornada a tiempo completo;Total;10;2022;5.003,87
Jornada a tiempo completo;Total;10;2021;5.083,75
Jornada a tiempo completo;Total;10;2020;4.964,01
Jornada a tiempo completo;Total;10;2019;4.725,47
Jornada a tiempo completo;Total;10;2018;4.799,61
Jornada a tiempo completo;Total;10;2017;4.631,17
Jornada a tiempo completo;Total;10;2016;4.568,68
Jornada a tiempo completo;Total;10;2015;4.786,61
Jornada a tiempo completo;Total;10;2014;4.616,94
Jornada a tiempo completo;Total;10;2013;4.574,92
Jornada a tiempo completo;Total;10;2012;4.515,01
Jornada a tiempo completo;Total;10;2011;4.418,37
Jornada a tiempo completo;Total;10;2010;4.356,53
Jornada a tiempo completo;Total;10;2009;4.370,12
Jornada a tiempo completo;Total;10;2008;4.346,26
Jornada a tiempo completo;Total;10;2007;3.670,83
Jornada a tiempo completo;Total;10;2006;3.573,7
Jornada a tiempo completo;De 16 a 24 años;Total decil;2023;1.770,13
Jornada a tiempo completo;De 16 a 24 años;Total decil;2022;1.660,9
Jornada a tiempo completo;De 16 a 24 años;Total decil;2021;1.559,66
Jornada a tiempo completo;De 16 a 24 años;Total decil;2020;1.532,9
Jornada a tiempo completo;De 16 a 24 años;Total decil;2019;1.487,64
Jornada a tiempo completo;De 16 a 24 años;Total decil;2018;1.393,6
Jornada a tiempo completo;De 16 a 24 años;Total decil;2017;1.379,72
Jornada a tiempo completo;De 16 a 24 años;Total decil;2016;1.305,35
Jornada a tiempo completo;De 16 a 24 años;Total decil;2015;1.321,79
Jornada a tiempo completo;De 16 a 24 años;Total decil;2014;1.340,92
Jornada a tiempo completo;De 16 a 24 años;Total decil;2013;1.344,96
Jornada a tiempo completo;De 16 a 24 años;Total decil;2012;1.388,55
Jornada a tiempo completo;De 16 a 24 años;Total decil;2011;1.374,74
Jornada a tiempo completo;De 16 a 24 años;Total decil;2010;1.422,37
Jornada a tiempo completo;De 16 a 24 años;Total decil;2009;1.385,66
Jornada a tiempo completo;De 16 a 24 años;Total decil;2008;1.351,02
Jornada a tiempo completo;De 16 a 24 años;Total decil;2007;1.288,14
Jornada a tiempo completo;De 16 a 24 años;Total decil;2006;1.214,73
Jornada a tiempo completo;De 16 a 24 años;1;2023;905,12
Jornada a tiempo completo;De 16 a 24 años;1;2022;857,6
Jornada a tiempo completo;De 16 a 24 años;1;2021;769,83
Jornada a tiempo completo;De 16 a 24 años;1;2020;728,2
Jornada a tiempo completo;De 16 a 24 años;1;2019;740,6
Jornada a tiempo completo;De 16 a 24 años;1;2018;648,37
Jornada a tiempo completo;De 16 a 24 años;1;2017;636,44
Jornada a tiempo completo;De 16 a 24 años;1;2016;641,01
Jornada a tiempo completo;De 16 a 24 años;1;2015;619,2
Jornada a tiempo completo;De 16 a 24 años;1;2014;574,57
Jornada a tiempo completo;De 16 a 24 años;1;2013;581,49
Jornada a tiempo completo;De 16 a 24 años;1;2012;581,26
Jornada a tiempo completo;De 16 a 24 años;1;2011;619,69
Jornada a tiempo completo;De 16 a 24 años;1;2010;631,05
Jornada a tiempo completo;De 16 a 24 años;1;2009;618
Jornada a tiempo completo;De 16 a 24 años;1;2008;653,58
Jornada a tiempo completo;De 16 a 24 años;1;2007;624,98
Jornada a tiempo completo;De 16 a 24 años;1;2006;571,51
Jornada a tiempo completo;De 16 a 24 años;2;2023;1.243,11
Jornada a tiempo completo;De 16 a 24 años;2;2022;1.143,64
Jornada a tiempo completo;De 16 a 24 años;2;2021;1.051,26
Jornada a tiempo completo;De 16 a 24 años;2;2020;1.028,06
Jornada a tiempo completo;De 16 a 24 años;2;2019;1.022,32
Jornada a tiempo completo;De 16 a 24 años;2;2018;917,74
Jornada a tiempo completo;De 16 a 24 años;2;2017;871,83
Jornada a tiempo completo;De 16 a 24 años;2;2016;862,15
Jornada a tiempo completo;De 16 a 24 años;2;2015;837,01
Jornada a tiempo completo;De 16 a 24 años;2;2014;830,41
Jornada a tiempo completo;De 16 a 24 años;2;2013;832,49
Jornada a tiempo completo;De 16 a 24 años;2;2012;860,81
Jornada a tiempo completo;De 16 a 24 años;2;2011;879,83
Jornada a tiempo completo;De 16 a 24 años;2;2010;905,91
Jornada a tiempo completo;De 16 a 24 años;2;2009;884,72
Jornada a tiempo completo;De 16 a 24 años;2;2008;896,59
Jornada a tiempo completo;De 16 a 24 años;2;2007;854,2
Jornada a tiempo completo;De 16 a 24 años;2;2006;804,77
Jornada a tiempo completo;De 16 a 24 años;3;2023;1.432,95
Jornada a tiempo completo;De 16 a 24 años;3;2022;1.341,03
Jornada a tiempo completo;De 16 a 24 años;3;2021;1.250,41
Jornada a tiempo completo;De 16 a 24 años;3;2020;1.240,05
Jornada a tiempo completo;De 16 a 24 años;3;2019;1.212,28
Jornada a tiempo completo;De 16 a 24 años;3;2018;1.157,48
Jornada a tiempo completo;De 16 a 24 años;3;2017;1.117,34
Jornada a tiempo completo;De 16 a 24 años;3;2016;1.117,37
Jornada a tiempo completo;De 16 a 24 años;3;2015;1.098,59
Jornada a tiempo completo;De 16 a 24 años;3;2014;1.093,1
Jornada a tiempo completo;De 16 a 24 años;3;2013;1.098,13
Jornada a tiempo completo;De 16 a 24 años;3;2012;1.128
Jornada a tiempo completo;De 16 a 24 años;3;2011;1.128,93
Jornada a tiempo completo;De 16 a 24 años;3;2010;1.145,35
Jornada a tiempo completo;De 16 a 24 años;3;2009;1.121,86
Jornada a tiempo completo;De 16 a 24 años;3;2008;1.113,94
Jornada a tiempo completo;De 16 a 24 años;3;2007;1.061,82
Jornada a tiempo completo;De 16 a 24 años;3;2006;1.006,66
Jornada a tiempo completo;De 16 a 24 años;4;2023;1.631,93
Jornada a tiempo completo;De 16 a 24 años;4;2022;1.525,22
Jornada a tiempo completo;De 16 a 24 años;4;2021;1.449,19
Jornada a tiempo completo;De 16 a 24 años;4;2020;1.428,32
Jornada a tiempo completo;De 16 a 24 años;4;2019;1.415,85
Jornada a tiempo completo;De 16 a 24 años;4;2018;1.358,42
Jornada a tiempo completo;De 16 a 24 años;4;2017;1.320,44
Jornada a tiempo completo;De 16 a 24 años;4;2016;1.325,72
Jornada a tiempo completo;De 16 a 24 años;4;2015;1.307,67
Jornada a tiempo completo;De 16 a 24 años;4;2014;1.316,7
Jornada a tiempo completo;De 16 a 24 años;4;2013;1.311,04
Jornada a tiempo completo;De 16 a 24 años;4;2012;1.318,52
Jornada a tiempo completo;De 16 a 24 años;4;2011;1.311,15
Jornada a tiempo completo;De 16 a 24 años;4;2010;1.315,82
Jornada a tiempo completo;De 16 a 24 años;4;2009;1.286,32
Jornada a tiempo completo;De 16 a 24 años;4;2008;1.267,35
Jornada a tiempo completo;De 16 a 24 años;4;2007;1.199,31
Jornada a tiempo completo;De 16 a 24 años;4;2006;1.141,17
Jornada a tiempo completo;De 16 a 24 años;5;2023;1.834,59
Jornada a tiempo completo;De 16 a 24 años;5;2022;1.707,74
Jornada a tiempo completo;De 16 a 24 años;5;2021;1.647,8
Jornada a tiempo completo;De 16 a 24 años;5;2020;1.591,07
Jornada a tiempo completo;De 16 a 24 años;5;2019;1.599,47
Jornada a tiempo completo;De 16 a 24 años;5;2018;1.553,12
Jornada a tiempo completo;De 16 a 24 años;5;2017;1.505,09
Jornada a tiempo completo;De 16 a 24 años;5;2016;1.500,67
Jornada a tiempo completo;De 16 a 24 años;5;2015;1.497,72
Jornada a tiempo completo;De 16 a 24 años;5;2014;1.499
Jornada a tiempo completo;De 16 a 24 años;5;2013;1.498,05
Jornada a tiempo completo;De 16 a 24 años;5;2012;1.483,46
Jornada a tiempo completo;De 16 a 24 años;5;2011;1.478,82
Jornada a tiempo completo;De 16 a 24 años;5;2010;1.469,65
Jornada a tiempo completo;De 16 a 24 años;5;2009;1.438,36
Jornada a tiempo completo;De 16 a 24 años;5;2008;1.404,93
Jornada a tiempo completo;De 16 a 24 años;5;2007;1.335,35
Jornada a tiempo completo;De 16 a 24 años;5;2006;1.268,64
Jornada a tiempo completo;De 16 a 24 años;6;2023;2.046,45
Jornada a tiempo completo;De 16 a 24 años;6;2022;1.916,64
Jornada a tiempo completo;De 16 a 24 años;6;2021;1.854,62
Jornada a tiempo completo;De 16 a 24 años;6;2020;1.804,73
Jornada a tiempo completo;De 16 a 24 años;6;2019;1.788,56
Jornada a tiempo completo;De 16 a 24 años;6;2018;1.731,77
Jornada a tiempo completo;De 16 a 24 años;6;2017;1.685,5
Jornada a tiempo completo;De 16 a 24 años;6;2016;1.695,49
Jornada a tiempo completo;De 16 a 24 años;6;2015;1.697,24
Jornada a tiempo completo;De 16 a 24 años;6;2014;1.709,79
Jornada a tiempo completo;De 16 a 24 años;6;2013;1.701,2
Jornada a tiempo completo;De 16 a 24 años;6;2012;1.683,15
Jornada a tiempo completo;De 16 a 24 años;6;2011;1.668,3
Jornada a tiempo completo;De 16 a 24 años;6;2010;1.655,95
Jornada a tiempo completo;De 16 a 24 años;6;2009;1.617,57
Jornada a tiempo completo;De 16 a 24 años;6;2008;1.578,82
Jornada a tiempo completo;De 16 a 24 años;6;2007;1.492,1
Jornada a tiempo completo;De 16 a 24 años;6;2006;1.412,33
Jornada a tiempo completo;De 16 a 24 años;7;2023;2.351,58
Jornada a tiempo completo;De 16 a 24 años;7;2022;2.160,84
Jornada a tiempo completo;De 16 a 24 años;7;2021;2.134,42
Jornada a tiempo completo;De 16 a 24 años;7;2020;2.082,12
Jornada a tiempo completo;De 16 a 24 años;7;2019;2.061,59
Jornada a tiempo completo;De 16 a 24 años;7;2018;2.023,35
Jornada a tiempo completo;De 16 a 24 años;7;2017;1.966,87
Jornada a tiempo completo;De 16 a 24 años;7;2016;1.968,61
Jornada a tiempo completo;De 16 a 24 años;7;2015;1.958,74
Jornada a tiempo completo;De 16 a 24 años;7;2014;1.983,97
Jornada a tiempo completo;De 16 a 24 años;7;2013;1.952,34
Jornada a tiempo completo;De 16 a 24 años;7;2012;1.960,7
Jornada a tiempo completo;De 16 a 24 años;7;2011;1.914,34
Jornada a tiempo completo;De 16 a 24 años;7;2010;1.913,35
Jornada a tiempo completo;De 16 a 24 años;7;2009;1.855,83
Jornada a tiempo completo;De 16 a 24 años;7;2008;1.783,56
Jornada a tiempo completo;De 16 a 24 años;7;2007;1.689,03
Jornada a tiempo completo;De 16 a 24 años;7;2006;1.628,71
Jornada a tiempo completo;De 16 a 24 años;8;2023;2.773,03
Jornada a tiempo completo;De 16 a 24 años;8;2022;2.591,78
Jornada a tiempo completo;De 16 a 24 años;8;2021;2.545,2
Jornada a tiempo completo;De 16 a 24 años;8;2020;2.540,32
Jornada a tiempo completo;De 16 a 24 años;8;2019;2.464,9
Jornada a tiempo completo;De 16 a 24 años;8;2018;2.376,74
Jornada a tiempo completo;De 16 a 24 años;8;2017;2.327,02
Jornada a tiempo completo;De 16 a 24 años;8;2016;2.331,08
Jornada a tiempo completo;De 16 a 24 años;8;2015;2.308,2
Jornada a tiempo completo;De 16 a 24 años;8;2014;2.332,11
Jornada a tiempo completo;De 16 a 24 años;8;2013;2.330,34
Jornada a tiempo completo;De 16 a 24 años;8;2012;2.322,86
Jornada a tiempo completo;De 16 a 24 años;8;2011;2.260,41
Jornada a tiempo completo;De 16 a 24 años;8;2010;2.287,56
Jornada a tiempo completo;De 16 a 24 años;8;2009;2.220,53
Jornada a tiempo completo;De 16 a 24 años;8;2008;2.138,52
Jornada a tiempo completo;De 16 a 24 años;8;2007;2.048,45
Jornada a tiempo completo;De 16 a 24 años;8;2006;1.945,56
Jornada a tiempo completo;De 16 a 24 años;9;2023;3.369,17
Jornada a tiempo completo;De 16 a 24 años;9;2022;3.095,1
Jornada a tiempo completo;De 16 a 24 años;9;2021;3.046,29
Jornada a tiempo completo;De 16 a 24 años;9;2020;3.071,03
Jornada a tiempo completo;De 16 a 24 años;9;2019;2.941,8
Jornada a tiempo completo;De 16 a 24 años;9;2018;2.914,83
Jornada a tiempo completo;De 16 a 24 años;9;2017;2.890,22
Jornada a tiempo completo;De 16 a 24 años;9;2016;2.823,01
Jornada a tiempo completo;De 16 a 24 años;9;2015;2.995,06
Jornada a tiempo completo;De 16 a 24 años;9;2014;2.920,44
Jornada a tiempo completo;De 16 a 24 años;9;2013;3.014,91
Jornada a tiempo completo;De 16 a 24 años;9;2012;2.882,56
Jornada a tiempo completo;De 16 a 24 años;9;2011;2.776,64
Jornada a tiempo completo;De 16 a 24 años;9;2010;2.785,13
Jornada a tiempo completo;De 16 a 24 años;9;2009;2.755,71
Jornada a tiempo completo;De 16 a 24 años;9;2008;2.631,17
Jornada a tiempo completo;De 16 a 24 años;9;2007;2.538,21
Jornada a tiempo completo;De 16 a 24 años;9;2006;2.379,01
Jornada a tiempo completo;De 16 a 24 años;10;2023;4.941,66
Jornada a tiempo completo;De 16 a 24 años;10;2022;4.411,74
Jornada a tiempo completo;De 16 a 24 años;10;2021;3.861,58
Jornada a tiempo completo;De 16 a 24 años;10;2020;5.312
Jornada a tiempo completo;De 16 a 24 años;10;2019;3.977,1
Jornada a tiempo completo;De 16 a 24 años;10;2018;4.597,25
Jornada a tiempo completo;De 16 a 24 años;10;2017;4.053,12
Jornada a tiempo completo;De 16 a 24 años;10;2016;3.784,74
Jornada a tiempo completo;De 16 a 24 años;10;2015;3.862,43
Jornada a tiempo completo;De 16 a 24 años;10;2014;5.070,52
Jornada a tiempo completo;De 16 a 24 años;10;2013;4.368,04
Jornada a tiempo completo;De 16 a 24 años;10;2012;4.193
Jornada a tiempo completo;De 16 a 24 años;10;2011;4.167,22
Jornada a tiempo completo;De 16 a 24 años;10;2010;4.091,49
Jornada a tiempo completo;De 16 a 24 años;10;2009;4.206,61
Jornada a tiempo completo;De 16 a 24 años;10;2008;3.968,34
Jornada a tiempo completo;De 16 a 24 años;10;2007;3.661,64
Jornada a tiempo completo;De 16 a 24 años;10;2006;3.320,58
Jornada a tiempo completo;De 25 a 34 años;Total decil;2023;2.198,65
Jornada a tiempo completo;De 25 a 34 años;Total decil;2022;2.016,25
Jornada a tiempo completo;De 25 a 34 años;Total decil;2021;1.965,23
Jornada a tiempo completo;De 25 a 34 años;Total decil;2020;1.908,85
Jornada a tiempo completo;De 25 a 34 años;Total decil;2019;1.856,49
Jornada a tiempo completo;De 25 a 34 años;Total decil;2018;1.811,54
Jornada a tiempo completo;De 25 a 34 años;Total decil;2017;1.747,42
Jornada a tiempo completo;De 25 a 34 años;Total decil;2016;1.735,15
Jornada a tiempo completo;De 25 a 34 años;Total decil;2015;1.707,85
Jornada a tiempo completo;De 25 a 34 años;Total decil;2014;1.785,6
Jornada a tiempo completo;De 25 a 34 años;Total decil;2013;1.785,69
Jornada a tiempo completo;De 25 a 34 años;Total decil;2012;1.768,72
Jornada a tiempo completo;De 25 a 34 años;Total decil;2011;1.805,24
Jornada a tiempo completo;De 25 a 34 años;Total decil;2010;1.784,42
Jornada a tiempo completo;De 25 a 34 años;Total decil;2009;1.765,98
Jornada a tiempo completo;De 25 a 34 años;Total decil;2008;1.730,38
Jornada a tiempo completo;De 25 a 34 años;Total decil;2007;1.607,43
Jornada a tiempo completo;De 25 a 34 años;Total decil;2006;1.554,63
Jornada a tiempo completo;De 25 a 34 años;1;2023;916,27
Jornada a tiempo completo;De 25 a 34 años;1;2022;878,54
Jornada a tiempo completo;De 25 a 34 años;1;2021;785,55
Jornada a tiempo completo;De 25 a 34 años;1;2020;724,59
Jornada a tiempo completo;De 25 a 34 años;1;2019;750,24
Jornada a tiempo completo;De 25 a 34 años;1;2018;661,59
Jornada a tiempo completo;De 25 a 34 años;1;2017;647,19
Jornada a tiempo completo;De 25 a 34 años;1;2016;638,58
Jornada a tiempo completo;De 25 a 34 años;1;2015;614,39
Jornada a tiempo completo;De 25 a 34 años;1;2014;566,41
Jornada a tiempo completo;De 25 a 34 años;1;2013;561,39
Jornada a tiempo completo;De 25 a 34 años;1;2012;585,88
Jornada a tiempo completo;De 25 a 34 años;1;2011;608,33
Jornada a tiempo completo;De 25 a 34 años;1;2010;628,54
Jornada a tiempo completo;De 25 a 34 años;1;2009;628,69
Jornada a tiempo completo;De 25 a 34 años;1;2008;647,27
Jornada a tiempo completo;De 25 a 34 años;1;2007;626,92
Jornada a tiempo completo;De 25 a 34 años;1;2006;575,83
Jornada a tiempo completo;De 25 a 34 años;2;2023;1.231,73
Jornada a tiempo completo;De 25 a 34 años;2;2022;1.155,6
Jornada a tiempo completo;De 25 a 34 años;2;2021;1.059,5
Jornada a tiempo completo;De 25 a 34 años;2;2020;1.028,82
Jornada a tiempo completo;De 25 a 34 años;2;2019;1.026,21
Jornada a tiempo completo;De 25 a 34 años;2;2018;924,2
Jornada a tiempo completo;De 25 a 34 años;2;2017;888,15
Jornada a tiempo completo;De 25 a 34 años;2;2016;880,61
Jornada a tiempo completo;De 25 a 34 años;2;2015;852,54
Jornada a tiempo completo;De 25 a 34 años;2;2014;845,46
Jornada a tiempo completo;De 25 a 34 años;2;2013;836,75
Jornada a tiempo completo;De 25 a 34 años;2;2012;870,83
Jornada a tiempo completo;De 25 a 34 años;2;2011;881,98
Jornada a tiempo completo;De 25 a 34 años;2;2010;919,21
Jornada a tiempo completo;De 25 a 34 años;2;2009;887,18
Jornada a tiempo completo;De 25 a 34 años;2;2008;899,43
Jornada a tiempo completo;De 25 a 34 años;2;2007;864,61
Jornada a tiempo completo;De 25 a 34 años;2;2006;813,61
Jornada a tiempo completo;De 25 a 34 años;3;2023;1.434,69
Jornada a tiempo completo;De 25 a 34 años;3;2022;1.333,71
Jornada a tiempo completo;De 25 a 34 años;3;2021;1.254,11
Jornada a tiempo completo;De 25 a 34 años;3;2020;1.240,75
Jornada a tiempo completo;De 25 a 34 años;3;2019;1.216,96
Jornada a tiempo completo;De 25 a 34 años;3;2018;1.160,85
Jornada a tiempo completo;De 25 a 34 años;3;2017;1.125,68
Jornada a tiempo completo;De 25 a 34 años;3;2016;1.124,02
Jornada a tiempo completo;De 25 a 34 años;3;2015;1.100,38
Jornada a tiempo completo;De 25 a 34 años;3;2014;1.099,28
Jornada a tiempo completo;De 25 a 34 años;3;2013;1.106,79
