tipo_de_jornada,grupo_de_edad,decil,año,total
Total,De 35 a 44 años,3,2009,1119.47
Total,De 35 a 44 años,3,2008,1112.37
Total,De 35 a 44 años,3,2007,1063.29
Total,De 35 a 44 años,3,2006,1009.37
Total,De 35 a 44 años,4,2023,1632.89
Total,De 35 a 44 años,4,2022,1527.08
Total,De 35 a 44 años,4,2021,1454.87
Total,De 35 a 44 años,4,2020,1420.06
Total,De 35 a 44 años,4,2019,1418.7
Total,De 35 a 44 años,4,2018,1355.44
Total,De 35 a 44 años,4,2017,1322.3
Total,De 35 a 44 años,4,2016,1324.72
Total,De 35 a 44 años,4,2015,1313.57
Total,De 35 a 44 años,4,2014,1316.87
Total,De 35 a 44 años,4,2013,1320.63
Total,De 35 a 44 años,4,2012,1321.24
Total,De 35 a 44 años,4,2011,1311.1
Total,De 35 a 44 años,4,2010,1316.02
Total,De 35 a 44 años,4,2009,1291.37
Total,De 35 a 44 años,4,2008,1267.35
Total,De 35 a 44 años,4,2007,1205.32
Total,De 35 a 44 años,4,2006,1142.74
Total,De 35 a 44 años,5,2023,1837.65
Total,De 35 a 44 años,5,2022,1707.19
Total,De 35 a 44 años,5,2021,1652.2
Total,De 35 a 44 años,5,2020,1608.08
Total,De 35 a 44 años,5,2019,1594.92
Total,De 35 a 44 años,5,2018,1546.04
Total,De 35 a 44 años,5,2017,1497.49
Total,De 35 a 44 años,5,2016,1495.74
Total,De 35 a 44 años,5,2015,1501.87
Total,De 35 a 44 años,5,2014,1504.15
Total,De 35 a 44 años,5,2013,1503.32
Total,De 35 a 44 años,5,2012,1496.43
Total,De 35 a 44 años,5,2011,1485.4
Total,De 35 a 44 años,5,2010,1479.5
Total,De 35 a 44 años,5,2009,1443.66
Total,De 35 a 44 años,5,2008,1409.83
Total,De 35 a 44 años,5,2007,1336.83
Total,De 35 a 44 años,5,2006,1270.85
Total,De 35 a 44 años,6,2023,2057.52
Total,De 35 a 44 años,6,2022,1911.17
Total,De 35 a 44 años,6,2021,1864.3
Total,De 35 a 44 años,6,2020,1817.51
Total,De 35 a 44 años,6,2019,1792.73
Total,De 35 a 44 años,6,2018,1757.29
Total,De 35 a 44 años,6,2017,1696.28
Total,De 35 a 44 años,6,2016,1703.43
Total,De 35 a 44 años,6,2015,1704.49
Total,De 35 a 44 años,6,2014,1716.48
Total,De 35 a 44 años,6,2013,1701.12
Total,De 35 a 44 años,6,2012,1687.27
Total,De 35 a 44 años,6,2011,1677.02
Total,De 35 a 44 años,6,2010,1664.17
Total,De 35 a 44 años,6,2009,1627.35
Total,De 35 a 44 años,6,2008,1581.8
Total,De 35 a 44 años,6,2007,1491.27
Total,De 35 a 44 años,6,2006,1419.21
Total,De 35 a 44 años,7,2023,2351.48
Total,De 35 a 44 años,7,2022,2178.31
Total,De 35 a 44 años,7,2021,2139.35
Total,De 35 a 44 años,7,2020,2107.14
Total,De 35 a 44 años,7,2019,2054.02
Total,De 35 a 44 años,7,2018,2017.6
Total,De 35 a 44 años,7,2017,1971.41
Total,De 35 a 44 años,7,2016,1970.76
Total,De 35 a 44 años,7,2015,1963.03
Total,De 35 a 44 años,7,2014,1998.37
Total,De 35 a 44 años,7,2013,1978.03
Total,De 35 a 44 años,7,2012,1944.7
Total,De 35 a 44 años,7,2011,1921.42
Total,De 35 a 44 años,7,2010,1914.48
Total,De 35 a 44 años,7,2009,1870.65
Total,De 35 a 44 años,7,2008,1796.0
Total,De 35 a 44 años,7,2007,1704.72
Total,De 35 a 44 años,7,2006,1624.76
Total,De 35 a 44 años,8,2023,2785.94
Total,De 35 a 44 años,8,2022,2589.04
Total,De 35 a 44 años,8,2021,2564.48
Total,De 35 a 44 años,8,2020,2542.62
Total,De 35 a 44 años,8,2019,2445.96
Total,De 35 a 44 años,8,2018,2428.1
Total,De 35 a 44 años,8,2017,2368.7
Total,De 35 a 44 años,8,2016,2359.8
Total,De 35 a 44 años,8,2015,2384.38
Total,De 35 a 44 años,8,2014,2384.65
Total,De 35 a 44 años,8,2013,2366.15
Total,De 35 a 44 años,8,2012,2306.88
Total,De 35 a 44 años,8,2011,2291.67
Total,De 35 a 44 años,8,2010,2288.39
Total,De 35 a 44 años,8,2009,2248.25
Total,De 35 a 44 años,8,2008,2140.1
Total,De 35 a 44 años,8,2007,2041.37
Total,De 35 a 44 años,8,2006,1957.73
Total,De 35 a 44 años,9,2023,3376.92
Total,De 35 a 44 años,9,2022,3165.5
Total,De 35 a 44 años,9,2021,3134.89
Total,De 35 a 44 años,9,2020,3139.37
Total,De 35 a 44 años,9,2019,3027.16
Total,De 35 a 44 años,9,2018,2998.08
Total,De 35 a 44 años,9,2017,2941.81
Total,De 35 a 44 años,9,2016,2911.1
Total,De 35 a 44 años,9,2015,2948.86
Total,De 35 a 44 años,9,2014,2929.02
Total,De 35 a 44 años,9,2013,2891.53
Total,De 35 a 44 años,9,2012,2840.75
Total,De 35 a 44 años,9,2011,2831.39
Total,De 35 a 44 años,9,2010,2841.18
Total,De 35 a 44 años,9,2009,2824.78
Total,De 35 a 44 años,9,2008,2706.17
Total,De 35 a 44 años,9,2007,2579.8
Total,De 35 a 44 años,9,2006,2444.72
Total,De 35 a 44 años,10,2023,5159.15
Total,De 35 a 44 años,10,2022,4872.28
Total,De 35 a 44 años,10,2021,4958.71
Total,De 35 a 44 años,10,2020,4958.59
Total,De 35 a 44 años,10,2019,4685.01
Total,De 35 a 44 años,10,2018,4832.22
Total,De 35 a 44 años,10,2017,4630.94
Total,De 35 a 44 años,10,2016,4613.02
Total,De 35 a 44 años,10,2015,4850.98
Total,De 35 a 44 años,10,2014,4610.54
Total,De 35 a 44 años,10,2013,4663.88
Total,De 35 a 44 años,10,2012,4523.17
Total,De 35 a 44 años,10,2011,4412.96
Total,De 35 a 44 años,10,2010,4388.94
Total,De 35 a 44 años,10,2009,4389.69
Total,De 35 a 44 años,10,2008,4458.21
Total,De 35 a 44 años,10,2007,3696.08
Total,De 35 a 44 años,10,2006,3583.7
Total,De 45 a 54 años,Total decil,2023,2522.24
Total,De 45 a 54 años,Total decil,2022,2285.95
Total,De 45 a 54 años,Total decil,2021,2276.35
Total,De 45 a 54 años,Total decil,2020,2199.4
Total,De 45 a 54 años,Total decil,2019,2157.06
Total,De 45 a 54 años,Total decil,2018,2140.75
Total,De 45 a 54 años,Total decil,2017,2097.82
Total,De 45 a 54 años,Total decil,2016,2083.45
Total,De 45 a 54 años,Total decil,2015,2118.3
Total,De 45 a 54 años,Total decil,2014,2084.07
Total,De 45 a 54 años,Total decil,2013,2104.9
Total,De 45 a 54 años,Total decil,2012,2065.1
Total,De 45 a 54 años,Total decil,2011,2067.38
Total,De 45 a 54 años,Total decil,2010,2085.38
Total,De 45 a 54 años,Total decil,2009,2065.46
Total,De 45 a 54 años,Total decil,2008,1992.59
Total,De 45 a 54 años,Total decil,2007,1878.93
Total,De 45 a 54 años,Total decil,2006,1818.97
Total,De 45 a 54 años,1,2023,651.95
Total,De 45 a 54 años,1,2022,605.56
Total,De 45 a 54 años,1,2021,550.95
Total,De 45 a 54 años,1,2020,508.82
Total,De 45 a 54 años,1,2019,520.55
Total,De 45 a 54 años,1,2018,477.44
Total,De 45 a 54 años,1,2017,456.68
Total,De 45 a 54 años,1,2016,454.87
Total,De 45 a 54 años,1,2015,399.6
Total,De 45 a 54 años,1,2014,407.55
Total,De 45 a 54 años,1,2013,401.38
Total,De 45 a 54 años,1,2012,416.05
Total,De 45 a 54 años,1,2011,438.62
Total,De 45 a 54 años,1,2010,462.86
Total,De 45 a 54 años,1,2009,481.52
Total,De 45 a 54 años,1,2008,494.58
Total,De 45 a 54 años,1,2007,490.89
Total,De 45 a 54 años,1,2006,468.25
Total,De 45 a 54 años,2,2023,1211.25
Total,De 45 a 54 años,2,2022,1129.47
Total,De 45 a 54 años,2,2021,1034.96
Total,De 45 a 54 años,2,2020,1007.83
Total,De 45 a 54 años,2,2019,993.72
Total,De 45 a 54 años,2,2018,910.26
Total,De 45 a 54 años,2,2017,860.34
Total,De 45 a 54 años,2,2016,861.81
Total,De 45 a 54 años,2,2015,825.79
Total,De 45 a 54 años,2,2014,821.81
Total,De 45 a 54 años,2,2013,804.16
Total,De 45 a 54 años,2,2012,836.67
Total,De 45 a 54 años,2,2011,866.04
Total,De 45 a 54 años,2,2010,888.25
Total,De 45 a 54 años,2,2009,887.19
Total,De 45 a 54 años,2,2008,884.32
Total,De 45 a 54 años,2,2007,863.7
Total,De 45 a 54 años,2,2006,806.99
Total,De 45 a 54 años,3,2023,1438.03
Total,De 45 a 54 años,3,2022,1337.65
Total,De 45 a 54 años,3,2021,1257.17
Total,De 45 a 54 años,3,2020,1231.87
Total,De 45 a 54 años,3,2019,1224.01
Total,De 45 a 54 años,3,2018,1154.38
Total,De 45 a 54 años,3,2017,1119.06
Total,De 45 a 54 años,3,2016,1120.62
Total,De 45 a 54 años,3,2015,1105.09
Total,De 45 a 54 años,3,2014,1104.4
Total,De 45 a 54 años,3,2013,1108.39
Total,De 45 a 54 años,3,2012,1128.97
Total,De 45 a 54 años,3,2011,1130.33
Total,De 45 a 54 años,3,2010,1145.0
Total,De 45 a 54 años,3,2009,1120.73
Total,De 45 a 54 años,3,2008,1111.15
Total,De 45 a 54 años,3,2007,1060.59
Total,De 45 a 54 años,3,2006,1005.97
Total,De 45 a 54 años,4,2023,1631.62
Total,De 45 a 54 años,4,2022,1519.4
Total,De 45 a 54 años,4,2021,1455.55
Total,De 45 a 54 años,4,2020,1424.23
Total,De 45 a 54 años,4,2019,1418.44
Total,De 45 a 54 años,4,2018,1360.84
Total,De 45 a 54 años,4,2017,1323.78
Total,De 45 a 54 años,4,2016,1326.65
Total,De 45 a 54 años,4,2015,1308.49
Total,De 45 a 54 años,4,2014,1316.61
Total,De 45 a 54 años,4,2013,1322.02
Total,De 45 a 54 años,4,2012,1325.43
Total,De 45 a 54 años,4,2011,1308.29
Total,De 45 a 54 años,4,2010,1317.75
Total,De 45 a 54 años,4,2009,1292.68
Total,De 45 a 54 años,4,2008,1268.54
Total,De 45 a 54 años,4,2007,1206.53
Total,De 45 a 54 años,4,2006,1143.56
Total,De 45 a 54 años,5,2023,1832.8
Total,De 45 a 54 años,5,2022,1709.86
Total,De 45 a 54 años,5,2021,1652.83
Total,De 45 a 54 años,5,2020,1607.56
Total,De 45 a 54 años,5,2019,1595.54
Total,De 45 a 54 años,5,2018,1547.91
Total,De 45 a 54 años,5,2017,1499.28
Total,De 45 a 54 años,5,2016,1502.0
Total,De 45 a 54 años,5,2015,1499.81
Total,De 45 a 54 años,5,2014,1501.58
Total,De 45 a 54 años,5,2013,1504.1
Total,De 45 a 54 años,5,2012,1495.25
Total,De 45 a 54 años,5,2011,1484.36
Total,De 45 a 54 años,5,2010,1482.38
Total,De 45 a 54 años,5,2009,1447.83
Total,De 45 a 54 años,5,2008,1417.3
Total,De 45 a 54 años,5,2007,1336.66
Total,De 45 a 54 años,5,2006,1271.47
Total,De 45 a 54 años,6,2023,2057.31
Total,De 45 a 54 años,6,2022,1915.38
Total,De 45 a 54 años,6,2021,1869.56
Total,De 45 a 54 años,6,2020,1818.52
Total,De 45 a 54 años,6,2019,1795.52
Total,De 45 a 54 años,6,2018,1752.69
Total,De 45 a 54 años,6,2017,1703.61
Total,De 45 a 54 años,6,2016,1708.73
Total,De 45 a 54 años,6,2015,1707.22
Total,De 45 a 54 años,6,2014,1713.34
Total,De 45 a 54 años,6,2013,1706.98
Total,De 45 a 54 años,6,2012,1684.51
Total,De 45 a 54 años,6,2011,1683.2
Total,De 45 a 54 años,6,2010,1671.16
Total,De 45 a 54 años,6,2009,1628.35
Total,De 45 a 54 años,6,2008,1580.31
Total,De 45 a 54 años,6,2007,1492.99
Total,De 45 a 54 años,6,2006,1420.16
Total,De 45 a 54 años,7,2023,2360.1
Total,De 45 a 54 años,7,2022,2189.17
Total,De 45 a 54 años,7,2021,2154.77
Total,De 45 a 54 años,7,2020,2109.77
Total,De 45 a 54 años,7,2019,2058.51
Total,De 45 a 54 años,7,2018,2016.81
Total,De 45 a 54 años,7,2017,1972.12
Total,De 45 a 54 años,7,2016,1965.46
Total,De 45 a 54 años,7,2015,1957.04
Total,De 45 a 54 años,7,2014,2001.01
Total,De 45 a 54 años,7,2013,1983.4
Total,De 45 a 54 años,7,2012,1942.92
Total,De 45 a 54 años,7,2011,1927.84
Total,De 45 a 54 años,7,2010,1915.04
Total,De 45 a 54 años,7,2009,1871.79
Total,De 45 a 54 años,7,2008,1799.34
Total,De 45 a 54 años,7,2007,1702.87
Total,De 45 a 54 años,7,2006,1627.85
Total,De 45 a 54 años,8,2023,2773.25
Total,De 45 a 54 años,8,2022,2592.13
Total,De 45 a 54 años,8,2021,2553.26
Total,De 45 a 54 años,8,2020,2537.02
Total,De 45 a 54 años,8,2019,2446.63
Total,De 45 a 54 años,8,2018,2424.19
Total,De 45 a 54 años,8,2017,2369.21
Total,De 45 a 54 años,8,2016,2362.84
Total,De 45 a 54 años,8,2015,2352.31
Total,De 45 a 54 años,8,2014,2384.99
Total,De 45 a 54 años,8,2013,2368.85
Total,De 45 a 54 años,8,2012,2310.81
Total,De 45 a 54 años,8,2011,2287.49
Total,De 45 a 54 años,8,2010,2290.11
Total,De 45 a 54 años,8,2009,2237.99
Total,De 45 a 54 años,8,2008,2156.6
Total,De 45 a 54 años,8,2007,2039.52
Total,De 45 a 54 años,8,2006,1961.73
Total,De 45 a 54 años,9,2023,3412.64
Total,De 45 a 54 años,9,2022,3179.95
Total,De 45 a 54 años,9,2021,3159.11
Total,De 45 a 54 años,9,2020,3181.98
Total,De 45 a 54 años,9,2019,3052.09
Total,De 45 a 54 años,9,2018,3016.5
Total,De 45 a 54 años,9,2017,2972.63
Total,De 45 a 54 años,9,2016,2942.65
Total,De 45 a 54 años,9,2015,2984.78
Total,De 45 a 54 años,9,2014,2967.86
Total,De 45 a 54 años,9,2013,2940.57
Total,De 45 a 54 años,9,2012,2870.88
Total,De 45 a 54 años,9,2011,2880.6
Total,De 45 a 54 años,9,2010,2871.02
Total,De 45 a 54 años,9,2009,2844.37
Total,De 45 a 54 años,9,2008,2716.48
Total,De 45 a 54 años,9,2007,2596.42
Total,De 45 a 54 años,9,2006,2475.81
Total,De 45 a 54 años,10,2023,5538.3
Total,De 45 a 54 años,10,2022,5123.62
Total,De 45 a 54 años,10,2021,5176.92
Total,De 45 a 54 años,10,2020,4983.02
Total,De 45 a 54 años,10,2019,4793.59
Total,De 45 a 54 años,10,2018,4786.02
Total,De 45 a 54 años,10,2017,4692.51
Total,De 45 a 54 años,10,2016,4601.14
Total,De 45 a 54 años,10,2015,4853.35
Total,De 45 a 54 años,10,2014,4652.75
Total,De 45 a 54 años,10,2013,4627.96
Total,De 45 a 54 años,10,2012,4505.47
Total,De 45 a 54 años,10,2011,4451.22
Total,De 45 a 54 años,10,2010,4403.64
Total,De 45 a 54 años,10,2009,4393.64
Total,De 45 a 54 años,10,2008,4291.82
Total,De 45 a 54 años,10,2007,3665.45
Total,De 45 a 54 años,10,2006,3555.24
Total,55 y más años,Total decil,2023,2478.04
Total,55 y más años,Total decil,2022,2361.84
Total,55 y más años,Total decil,2021,2319.95
Total,55 y más años,Total decil,2020,2361.19
Total,55 y más años,Total decil,2019,2306.29
Total,55 y más años,Total decil,2018,2205.57
Total,55 y más años,Total decil,2017,2169.18
Total,55 y más años,Total decil,2016,2228.07
Total,55 y más años,Total decil,2015,2260.31
Total,55 y más años,Total decil,2014,2198.27
Total,55 y más años,Total decil,2013,2134.67
Total,55 y más años,Total decil,2012,2167.49
Total,55 y más años,Total decil,2011,2136.9
Total,55 y más años,Total decil,2010,2181.4
Total,55 y más años,Total decil,2009,2112.81
Total,55 y más años,Total decil,2008,2151.89
Total,55 y más años,Total decil,2007,1932.21
Total,55 y más años,Total decil,2006,1879.86
Total,55 y más años,1,2023,614.36
Total,55 y más años,1,2022,590.44
Total,55 y más años,1,2021,519.98
Total,55 y más años,1,2020,497.4
Total,55 y más años,1,2019,505.57
Total,55 y más años,1,2018,468.17
Total,55 y más años,1,2017,443.39
Total,55 y más años,1,2016,436.21
Total,55 y más años,1,2015,392.22
Total,55 y más años,1,2014,389.9
Total,55 y más años,1,2013,401.5
Total,55 y más años,1,2012,405.88
Total,55 y más años,1,2011,421.26
Total,55 y más años,1,2010,460.8
Total,55 y más años,1,2009,480.23
Total,55 y más años,1,2008,479.67
Total,55 y más años,1,2007,469.22
Total,55 y más años,1,2006,453.81
Total,55 y más años,2,2023,1215.93
Total,55 y más años,2,2022,1138.81
Total,55 y más años,2,2021,1029.66
Total,55 y más años,2,2020,1005.05
Total,55 y más años,2,2019,989.71
Total,55 y más años,2,2018,905.43
Total,55 y más años,2,2017,862.45
Total,55 y más años,2,2016,851.04
Total,55 y más años,2,2015,822.6
Total,55 y más años,2,2014,827.83
Total,55 y más años,2,2013,816.16
Total,55 y más años,2,2012,836.71
Total,55 y más años,2,2011,861.06
Total,55 y más años,2,2010,885.84
Total,55 y más años,2,2009,873.0
Total,55 y más años,2,2008,883.78
Total,55 y más años,2,2007,847.47
Total,55 y más años,2,2006,791.07
Total,55 y más años,3,2023,1426.19
Total,55 y más años,3,2022,1340.9
Total,55 y más años,3,2021,1259.84
Total,55 y más años,3,2020,1241.46
Total,55 y más años,3,2019,1227.99
Total,55 y más años,3,2018,1155.62
Total,55 y más años,3,2017,1121.99
Total,55 y más años,3,2016,1121.27
Total,55 y más años,3,2015,1099.58
Total,55 y más años,3,2014,1103.65
Total,55 y más años,3,2013,1097.28
Total,55 y más años,3,2012,1123.99
Total,55 y más años,3,2011,1126.03
Total,55 y más años,3,2010,1141.71
Total,55 y más años,3,2009,1127.4
Total,55 y más años,3,2008,1115.58
Total,55 y más años,3,2007,1063.04
Total,55 y más años,3,2006,998.63
Total,55 y más años,4,2023,1631.65
Total,55 y más años,4,2022,1520.31
Total,55 y más años,4,2021,1454.84
Total,55 y más años,4,2020,1424.06
Total,55 y más años,4,2019,1417.2
Total,55 y más años,4,2018,1356.36
Total,55 y más años,4,2017,1321.56
Total,55 y más años,4,2016,1324.46
Total,55 y más años,4,2015,1310.72
Total,55 y más años,4,2014,1318.61
Total,55 y más años,4,2013,1321.3
Total,55 y más años,4,2012,1325.58
Total,55 y más años,4,2011,1306.48
Total,55 y más años,4,2010,1315.57
Total,55 y más años,4,2009,1285.45
Total,55 y más años,4,2008,1267.07
Total,55 y más años,4,2007,1203.56
Total,55 y más años,4,2006,1151.31
Total,55 y más años,5,2023,1828.54
Total,55 y más años,5,2022,1707.47
Total,55 y más años,5,2021,1656.19
Total,55 y más años,5,2020,1605.56
Total,55 y más años,5,2019,1601.5
Total,55 y más años,5,2018,1549.12
Total,55 y más años,5,2017,1500.91
Total,55 y más años,5,2016,1503.55
Total,55 y más años,5,2015,1491.35
Total,55 y más años,5,2014,1504.76
Total,55 y más años,5,2013,1504.96
Total,55 y más años,5,2012,1497.8
Total,55 y más años,5,2011,1482.38
Total,55 y más años,5,2010,1479.78
Total,55 y más años,5,2009,1446.49
Total,55 y más años,5,2008,1414.43
Total,55 y más años,5,2007,1341.07
Total,55 y más años,5,2006,1275.1
Total,55 y más años,6,2023,2060.69
Total,55 y más años,6,2022,1916.91
Total,55 y más años,6,2021,1863.31
Total,55 y más años,6,2020,1816.93
Total,55 y más años,6,2019,1795.56
Total,55 y más años,6,2018,1753.37
Total,55 y más años,6,2017,1695.97
Total,55 y más años,6,2016,1705.18
Total,55 y más años,6,2015,1704.07
Total,55 y más años,6,2014,1718.39
Total,55 y más años,6,2013,1705.33
Total,55 y más años,6,2012,1682.14
Total,55 y más años,6,2011,1675.41
Total,55 y más años,6,2010,1668.97
Total,55 y más años,6,2009,1637.72
Total,55 y más años,6,2008,1579.62
Total,55 y más años,6,2007,1493.12
Total,55 y más años,6,2006,1418.78
Total,55 y más años,7,2023,2361.78
Total,55 y más años,7,2022,2185.09
Total,55 y más años,7,2021,2146.97
Total,55 y más años,7,2020,2109.97
Total,55 y más años,7,2019,2067.71
Total,55 y más años,7,2018,2020.97
Total,55 y más años,7,2017,1972.13
Total,55 y más años,7,2016,1969.03
Total,55 y más años,7,2015,1960.53
Total,55 y más años,7,2014,1996.49
Total,55 y más años,7,2013,1978.75
Total,55 y más años,7,2012,1942.73
Total,55 y más años,7,2011,1930.67
Total,55 y más años,7,2010,1930.97
Total,55 y más años,7,2009,1879.24
Total,55 y más años,7,2008,1794.23
Total,55 y más años,7,2007,1711.43
Total,55 y más años,7,2006,1628.3
Total,55 y más años,8,2023,2781.96
Total,55 y más años,8,2022,2592.01
Total,55 y más años,8,2021,2561.46
Total,55 y más años,8,2020,2542.32
Total,55 y más años,8,2019,2437.27
Total,55 y más años,8,2018,2412.44
Total,55 y más años,8,2017,2352.1
Total,55 y más años,8,2016,2352.55
Total,55 y más años,8,2015,2361.53
Total,55 y más años,8,2014,2399.4
Total,55 y más años,8,2013,2360.81
Total,55 y más años,8,2012,2300.02
Total,55 y más años,8,2011,2284.88
Total,55 y más años,8,2010,2284.87
Total,55 y más años,8,2009,2224.25
Total,55 y más años,8,2008,2140.2
Total,55 y más años,8,2007,2046.11
Total,55 y más años,8,2006,1964.98
Total,55 y más años,9,2023,3393.47
Total,55 y más años,9,2022,3184.72
Total,55 y más años,9,2021,3148.53
Total,55 y más años,9,2020,3197.15
Total,55 y más años,9,2019,3065.33
Total,55 y más años,9,2018,3042.26
Total,55 y más años,9,2017,2973.95
Total,55 y más años,9,2016,2935.19
Total,55 y más años,9,2015,2997.45
Total,55 y más años,9,2014,2976.42
Total,55 y más años,9,2013,2955.74
Total,55 y más años,9,2012,2889.25
Total,55 y más años,9,2011,2879.82
Total,55 y más años,9,2010,2854.08
Total,55 y más años,9,2009,2837.37
Total,55 y más años,9,2008,2730.12
Total,55 y más años,9,2007,2571.29
Total,55 y más años,9,2006,2461.4
Total,55 y más años,10,2023,5493.5
Total,55 y más años,10,2022,5123.25
Total,55 y más años,10,2021,5135.29
Total,55 y más años,10,2020,4988.43
Total,55 y más años,10,2019,4775.19
Total,55 y más años,10,2018,4846.78
Total,55 y más años,10,2017,4589.27
Total,55 y más años,10,2016,4526.19
Total,55 y más años,10,2015,4742.46
Total,55 y más años,10,2014,4635.01
Total,55 y más años,10,2013,4443.18
Total,55 y más años,10,2012,4556.8
Total,55 y más años,10,2011,4455.26
Total,55 y más años,10,2010,4360.21
Total,55 y más años,10,2009,4392.4
Total,55 y más años,10,2008,4487.13
Total,55 y más años,10,2007,3748.36
Total,55 y más años,10,2006,3596.94
Jornada a tiempo completo,Total,Total decil,2023,2503.81
Jornada a tiempo completo,Total,Total decil,2022,2332.25
Jornada a tiempo completo,Total,Total decil,2021,2304.04
Jornada a tiempo completo,Total,Total decil,2020,2258.3
Jornada a tiempo completo,Total,Total decil,2019,2207.31
Jornada a tiempo completo,Total,Total decil,2018,2177.14
Jornada a tiempo completo,Total,Total decil,2017,2120.76
Jornada a tiempo completo,Total,Total decil,2016,2106.71
Jornada a tiempo completo,Total,Total decil,2015,2142.03
Jornada a tiempo completo,Total,Total decil,2014,2132.2
Jornada a tiempo completo,Total,Total decil,2013,2121.27
Jornada a tiempo completo,Total,Total decil,2012,2076.25
Jornada a tiempo completo,Total,Total decil,2011,2046.75
Jornada a tiempo completo,Total,Total decil,2010,2022.19
Jornada a tiempo completo,Total,Total decil,2009,1995.36
Jornada a tiempo completo,Total,Total decil,2008,1929.61
Jornada a tiempo completo,Total,Total decil,2007,1779.06
Jornada a tiempo completo,Total,Total decil,2006,1703.93
Jornada a tiempo completo,Total,1,2023,909.38
Jornada a tiempo completo,Total,1,2022,874.76
Jornada a tiempo completo,Total,1,2021,780.24
Jornada a tiempo completo,Total,1,2020,737.64
Jornada a tiempo completo,Total,1,2019,745.66
Jornada a tiempo completo,Total,1,2018,670.68
Jornada a tiempo completo,Total,1,2017,642.01
Jornada a tiempo completo,Total,1,2016,633.39
Jornada a tiempo completo,Total,1,2015,615.79
Jornada a tiempo completo,Total,1,2014,575.37
Jornada a tiempo completo,Total,1,2013,563.41
Jornada a tiempo completo,Total,1,2012,587.54
Jornada a tiempo completo,Total,1,2011,610.87
Jornada a tiempo completo,Total,1,2010,629.49
Jornada a tiempo completo,Total,1,2009,628.64
Jornada a tiempo completo,Total,1,2008,655.07
Jornada a tiempo completo,Total,1,2007,624.4
Jornada a tiempo completo,Total,1,2006,575.08
Jornada a tiempo completo,Total,2,2023,1236.49
Jornada a tiempo completo,Total,2,2022,1153.15
Jornada a tiempo completo,Total,2,2021,1055.67
Jornada a tiempo completo,Total,2,2020,1027.6
Jornada a tiempo completo,Total,2,2019,1020.14
Jornada a tiempo completo,Total,2,2018,925.84
Jornada a tiempo completo,Total,2,2017,882.86
Jornada a tiempo completo,Total,2,2016,878.9
Jornada a tiempo completo,Total,2,2015,850.46
Jornada a tiempo completo,Total,2,2014,844.46
Jornada a tiempo completo,Total,2,2013,843.9
Jornada a tiempo completo,Total,2,2012,873.29
Jornada a tiempo completo,Total,2,2011,882.51
Jornada a tiempo completo,Total,2,2010,912.76
Jornada a tiempo completo,Total,2,2009,891.45
Jornada a tiempo completo,Total,2,2008,899.73
Jornada a tiempo completo,Total,2,2007,864.61
Jornada a tiempo completo,Total,2,2006,810.56
Jornada a tiempo completo,Total,3,2023,1435.14
Jornada a tiempo completo,Total,3,2022,1338.85
Jornada a tiempo completo,Total,3,2021,1256.69
Jornada a tiempo completo,Total,3,2020,1238.09
Jornada a tiempo completo,Total,3,2019,1222.98
Jornada a tiempo completo,Total,3,2018,1158.89
Jornada a tiempo completo,Total,3,2017,1123.98
Jornada a tiempo completo,Total,3,2016,1120.79
Jornada a tiempo completo,Total,3,2015,1103.99
Jornada a tiempo completo,Total,3,2014,1104.75
Jornada a tiempo completo,Total,3,2013,1108.68
Jornada a tiempo completo,Total,3,2012,1122.63
Jornada a tiempo completo,Total,3,2011,1129.31
Jornada a tiempo completo,Total,3,2010,1142.86
Jornada a tiempo completo,Total,3,2009,1120.3
Jornada a tiempo completo,Total,3,2008,1113.18
Jornada a tiempo completo,Total,3,2007,1063.01
Jornada a tiempo completo,Total,3,2006,1007.14
Jornada a tiempo completo,Total,4,2023,1631.52
Jornada a tiempo completo,Total,4,2022,1524.03
Jornada a tiempo completo,Total,4,2021,1455.64
Jornada a tiempo completo,Total,4,2020,1423.46
Jornada a tiempo completo,Total,4,2019,1418.56
Jornada a tiempo completo,Total,4,2018,1358.39
Jornada a tiempo completo,Total,4,2017,1323.06
Jornada a tiempo completo,Total,4,2016,1325.47
Jornada a tiempo completo,Total,4,2015,1312.19
Jornada a tiempo completo,Total,4,2014,1315.8
Jornada a tiempo completo,Total,4,2013,1319.1
Jornada a tiempo completo,Total,4,2012,1323.28
Jornada a tiempo completo,Total,4,2011,1311.58
Jornada a tiempo completo,Total,4,2010,1317.0
Jornada a tiempo completo,Total,4,2009,1290.47
Jornada a tiempo completo,Total,4,2008,1267.87
Jornada a tiempo completo,Total,4,2007,1203.8
Jornada a tiempo completo,Total,4,2006,1144.5
Jornada a tiempo completo,Total,5,2023,1834.45
Jornada a tiempo completo,Total,5,2022,1708.48
Jornada a tiempo completo,Total,5,2021,1652.94
Jornada a tiempo completo,Total,5,2020,1606.82
Jornada a tiempo completo,Total,5,2019,1595.45
Jornada a tiempo completo,Total,5,2018,1546.13
Jornada a tiempo completo,Total,5,2017,1498.09
Jornada a tiempo completo,Total,5,2016,1497.64
Jornada a tiempo completo,Total,5,2015,1497.28
Jornada a tiempo completo,Total,5,2014,1503.49
Jornada a tiempo completo,Total,5,2013,1502.8
Jornada a tiempo completo,Total,5,2012,1493.26
Jornada a tiempo completo,Total,5,2011,1484.31
Jornada a tiempo completo,Total,5,2010,1478.37
